"filename", "language", "TypeScript", "Markdown", "TypeScript JSX", "JSON with Comments", "XML", "JSON", "CSS", "Properties", "JavaScript", "comment", "blank", "total"
"c:\Users\admin\Desktop\commuvemar-frontend\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\admin\Desktop\commuvemar-frontend\README.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\Users\admin\Desktop\commuvemar-frontend\next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 9
"c:\Users\admin\Desktop\commuvemar-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3573, 0, 0, 0, 0, 1, 3574
"c:\Users\admin\Desktop\commuvemar-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\admin\IconD6.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\admin\Iconcard1.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\admin\iconD2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\admin\iconD4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\admin\iconD5.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\commuvemar-frontend\public\images\home\contact.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\fincas\page.tsx", "TypeScript JSX", 0, 0, 148, 0, 0, 0, 0, 0, 0, 2, 13, 163
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\historyFichas\Style.css", "CSS", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 12, 143
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\historyFichas\[id]\page.tsx", "TypeScript JSX", 0, 0, 408, 0, 0, 0, 0, 0, 0, 16, 28, 452
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\historyFichas\page.tsx", "TypeScript JSX", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 13, 191
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\infoFichas\[id]\page.tsx", "TypeScript JSX", 0, 0, 292, 0, 0, 0, 0, 0, 0, 9, 22, 323
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\infoFichas\page.tsx", "TypeScript JSX", 0, 0, 241, 0, 0, 0, 0, 0, 0, 2, 24, 267
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 0, 3, 8, 89
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\productors\page.tsx", "TypeScript JSX", 0, 0, 157, 0, 0, 0, 0, 0, 0, 1, 18, 176
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\reports\page.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 8, 55
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\settings\page.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 27
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\users\page.tsx", "TypeScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 0, 2, 13, 153
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\admin\workers\page.tsx", "TypeScript JSX", 0, 0, 173, 0, 0, 0, 0, 0, 0, 1, 21, 195
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\api\location\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\api\posts\route.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 89
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 216, 0, 0, 20, 29, 265
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\about\About.css", "CSS", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 4, 162
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\about\About.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\banner\Banner.css", "CSS", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 61
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\banner\Banner.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\contact\Contact.css", "CSS", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 3, 101
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\contact\Contact.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\footer\Footer.css", "CSS", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 6, 178
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\footer\Footer.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\navbar\Navbar.css", "CSS", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 12, 239
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\navbar\Navbar.tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 0, 0, 0, 0, 5, 22, 151
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\services\Service.css", "CSS", 0, 0, 0, 0, 0, 0, 66, 0, 0, 1, 3, 70
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\services\Service.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\welcome\Welcome.css", "CSS", 0, 0, 0, 0, 0, 0, 85, 0, 0, 1, 6, 92
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\components\welcome\Welcome.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\home\data\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 6, 37
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\login\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\login\login.css", "CSS", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 18, 224
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 9, 100
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 4, 59
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\page.module.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 0, 15
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\admin\Desktop\commuvemar-frontend\src\app\prueba.json", "JSON", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 170
"c:\Users\admin\Desktop\commuvemar-frontend\src\auth\authProvider.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 0, 0, 0, 0, 3, 10, 69
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\BotonFlotante.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\Card.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\GlobalContainer.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 0, 15, 6, 27
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\Logo.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\NoResult.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\SearchInput.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\AdminContainer.tsx", "TypeScript JSX", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\ModalAlert.tsx", "TypeScript JSX", 0, 0, 97, 0, 0, 0, 0, 0, 0, 1, 6, 104
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\avatar\Avatar.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\BarChart.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\CircleChart.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\CircleChart2.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\HalfCircleChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\charts\LinesChart.tsx", "TypeScript JSX", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\datatable\Datatable.tsx", "TypeScript JSX", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 11, 146
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\dateProvider.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\BannerFicha.tsx", "TypeScript JSX", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\CardFicha2.tsx", "TypeScript JSX", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 7, 223
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\CardFichas.tsx", "TypeScript JSX", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 5, 120
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\ModalMapa.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 1, 10, 98
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\ReadOnlyInput.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\CuartaSeccion.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 0, 0, 0, 0, 3, 8, 68
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DecimaSeccion.tsx", "TypeScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 0, 3, 8, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DecisionComite.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\Declaracion.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\DictamenFinal.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\NovenaSeccion.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\OctavaSeccion.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 2, 7, 90
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\PrimeraSeccion.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 5, 92
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\QuintaSeccion.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 0, 3, 8, 112
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SegundaSeccion.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 12, 82
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SeptimaSeccion.tsx", "TypeScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 0, 3, 8, 80
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\SextaSeccion.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 6, 95
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\TerceraSeccion.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 7, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fichas\sections\UnDecimaSeccion.tsx", "TypeScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 3, 7, 74
"c:\Users\admin\Desktop\commuvemar-frontend\src\components\admin\fincas\FincasCard.tsx", "TypeScript JSX", 0, 0, 181, 0, 0, 0, 0, 0, 0, 1, 13, 195
